id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
80291,"Aleksandr Viktorovich ""Alex"" Miroshnichenko",M,24.0,193.0,91.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Super-Heavyweight,Bronze
80293,Viktor Volodymyrovych Miroshnychenko,M,20.0,164.0,51.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Flyweight,Silver
80306,Oksen Mirzoyan,M,27.0,155.0,56.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Bantamweight,Gold
80328,Antje Misersky-Harvey,F,24.0,173.0,66.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Silver
80328,Antje Misersky-Harvey,F,24.0,173.0,66.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 15 kilometres,Gold
80328,Antje Misersky-Harvey,F,24.0,173.0,66.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay,Silver
80328,Antje Misersky-Harvey,F,26.0,173.0,66.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
80329,Vira Antonivna Misevych,F,35.0,169.0,60.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
80330,Yevgeny Dmitriyevich Mishakov,M,26.0,190.0,90.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
80330,Yevgeny Dmitriyevich Mishakov,M,30.0,190.0,90.0,Soviet Union,URS,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
80333,Galina Andreyevna Mishenina,F,25.0,178.0,73.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Fours,Bronze
80346,Arsens Miskarovs,M,19.0,183.0,75.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,Silver
80346,Arsens Miskarovs,M,19.0,183.0,75.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
80346,Arsens Miskarovs,M,19.0,183.0,75.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
80367,Steve Missillier,M,29.0,186.0,80.0,France,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
80388,"Matthew John ""Matt"" Mitcham",M,20.0,174.0,67.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform,Gold
80389,"James Sarsfield ""Jim"" Mitchel",M,40.0,187.0,100.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 56-pound Weight Throw,Bronze
80392,"Elizabeth ""Betsy"" Mitchell",F,18.0,175.0,68.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,Silver
80392,"Elizabeth ""Betsy"" Mitchell",F,18.0,175.0,68.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
80392,"Elizabeth ""Betsy"" Mitchell",F,22.0,175.0,68.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
80395,Collin Mitchell,M,28.0,183.0,86.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Men's Curling,Silver
80399,Dennis Allen Mitchell,M,26.0,175.0,70.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,Bronze
80399,Dennis Allen Mitchell,M,26.0,175.0,70.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
80399,Dennis Allen Mitchell,M,30.0,175.0,70.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
80402,"Edward Paul ""Ed"" Mitchell, Jr.",M,22.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze
