id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
24423,"Thomas Pelham ""Tom"" Curtis",M,23.0,176.0,66.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
24440,"Clifton Emmett ""Cliff"" Cushman",M,22.0,188.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,Silver
24495,"Stanley Francis ""Stan"" Cwiklinski",M,21.0,189.0,86.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
24532,"Joseph John ""Joe"" Czarnota",M,26.0,,,United States,USA,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
24815,"Timothy Patrick ""Tim"" Daggett",M,22.0,165.0,66.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
24815,"Timothy Patrick ""Tim"" Daggett",M,22.0,165.0,66.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
24953,Troy Lane Dalbey,M,19.0,190.0,77.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
24953,Troy Lane Dalbey,M,19.0,190.0,77.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
24973,John Lawrence Daley,M,18.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Bantamweight,Silver
25018,"William Morris ""Bill"" Dally",M,20.0,189.0,84.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,Gold
25038,Dorothy Katherine Dalton,F,25.0,,,United States,USA,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze
25193,"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,18.0,173.0,65.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,Silver
25193,"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,18.0,173.0,65.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,Bronze
25193,"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,18.0,173.0,65.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
25193,"Eleanor Suzanne ""Ellie"" Daniel (-Drye)",F,22.0,173.0,65.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Butterfly,Bronze
25215,"Charles Meldrum ""Charlie"" Daniels",M,19.0,183.0,70.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 50 yard Freestyle,Bronze
25215,"Charles Meldrum ""Charlie"" Daniels",M,19.0,183.0,70.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 100 yard Freestyle,Silver
25215,"Charles Meldrum ""Charlie"" Daniels",M,19.0,183.0,70.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 220 yard Freestyle,Gold
25215,"Charles Meldrum ""Charlie"" Daniels",M,19.0,183.0,70.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 440 yard Freestyle,Gold
25215,"Charles Meldrum ""Charlie"" Daniels",M,21.0,183.0,70.0,United States,USA,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,Gold
25215,"Charles Meldrum ""Charlie"" Daniels",M,23.0,183.0,70.0,United States,USA,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
